,classname,confidence,edges,mutation
131,Verbot für Fahrzeuge aller Art,0.99987674,6,0.55
132,Verbot für Fahrzeuge aller Art,0.95689321,6,0.6
133,Vorfahrt gewähren,0.95585388,6,0.65
134,Verbot für Fahrzeuge aller Art,0.66343611,6,0.7
135,Ende aller Streckenverbote,0.66152948,6,0.75
136,Verbot für Fahrzeuge aller Art,0.5173558,6,0.8
137,Verbot für Fahrzeuge aller Art,0.99949741,6,0.85
138,Vorfahrt,0.9951728,6,0.9
139,Vorfahrt,0.90895241,6,0.95
140,Rechts vorbei,0.7566663,6,1.0
141,Verbot der Einfahrt,0.99999821,6,1.05
142,Verbot für Fahrzeuge aller Art,0.89631313,6,1.1
143,Verbot für Fahrzeuge aller Art,0.9999398,6,1.15
144,Vorfahrt gewähren,0.99969041,6,1.2
145,Rechts vorbei,0.72132051,6,1.25
146,Vorfahrt,0.78773993,6,1.3
147,Unebene Fahrbahn,0.92795157,6,1.35
148,Verbot für Fahrzeuge aller Art,0.37164909,6,1.4
149,Vorfahrt gewähren,0.0357466,6,1.45
150,Vorfahrt gewähren,1.0,6,1.5
151,Zulässige Höchstgeschwindigkeit (30),0.52961427,6,1.55
152,Rechts vorbei,0.87550342,6,1.6
153,Wildwechsel,0.93802476,6,1.65
154,Vorfahrt gewähren,0.53234136,6,1.7
155,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.50817096,6,1.75
156,Zulässige Höchstgeschwindigkeit (70),0.9600662,6,1.8
157,Verbot der Einfahrt,0.95213282,6,1.85
158,Kreisverkehr,0.65549856,6,1.9
159,Verbot für Fahrzeuge aller Art,0.95544332,6,1.95
160,Ende aller Streckenverbote,0.98388839,7,0.0
161,Ende aller Streckenverbote,0.97514886,7,0.05
162,Ende aller Streckenverbote,0.99173611,7,0.1
163,Ende aller Streckenverbote,0.97222543,7,0.15
164,Ende aller Streckenverbote,0.99219722,7,0.2
165,Ende aller Streckenverbote,0.93870622,7,0.25
166,Verbot für Fahrzeuge aller Art,0.82563722,7,0.3
167,Ende aller Streckenverbote,0.64719939,7,0.35
168,Vorfahrt,0.49783024,7,0.4
169,Vorfahrt gewähren,0.72142166,7,0.45
170,Ende aller Streckenverbote,0.66217142,7,0.5
171,Verbot für Fahrzeuge aller Art,0.59535396,7,0.55
172,Verbot für Fahrzeuge aller Art,0.69912225,7,0.6
173,Vorfahrt,0.55217189,7,0.65
174,Verbot für Fahrzeuge aller Art,0.91866457,7,0.7
175,Verbot für Fahrzeuge aller Art,0.97293705,7,0.75
176,Vorfahrt,0.98662114,7,0.8
177,Verbot für Fahrzeuge aller Art,0.48393747,7,0.85
178,Verbot für Fahrzeuge aller Art,0.64916426,7,0.9
179,Verbot für Fahrzeuge aller Art,0.80302191,7,0.95
180,Ende aller Streckenverbote,0.27734163,7,1.0
181,Zulässige Höchstgeschwindigkeit (70),0.58073848,7,1.05
182,Vorfahrt gewähren,0.60104245,7,1.1
183,Vorfahrt gewähren,0.50997919,7,1.15
184,Verbot für Fahrzeuge aller Art,0.80384004,7,1.2
185,Verbot für Fahrzeuge aller Art,0.99961579,7,1.25
186,Zulässige Höchstgeschwindigkeit (70),0.61512375,7,1.3
187,Rechts vorbei,0.85511947,7,1.35
188,Vorfahrt,0.89220548,7,1.4
189,Baustelle,0.99491322,7,1.45
190,Vorfahrt gewähren,0.99343514,7,1.5
191,Verbot für Fahrzeuge aller Art,0.95708477,7,1.55
192,Vorfahrt gewähren,0.999892,7,1.6
193,Zulässige Höchstgeschwindigkeit (120),0.53166384,7,1.65
194,Baustelle,0.99624664,7,1.7
195,Rechts vorbei,0.94937831,7,1.75
196,Vorfahrt gewähren,0.73354232,7,1.8
197,Vorfahrt gewähren,0.99714178,7,1.85
198,Unebene Fahrbahn,0.98624068,7,1.9
199,Überholverbot für Kraftfahrzeuge aller Art,0.96043587,7,1.95
200,Ende aller Streckenverbote,0.96158665,8,0.0
201,Ende aller Streckenverbote,0.96241385,8,0.05
202,Ende aller Streckenverbote,0.94693798,8,0.1
203,Ende aller Streckenverbote,0.96233368,8,0.15
204,Ende aller Streckenverbote,0.93422115,8,0.2
205,Vorfahrt,0.70581889,8,0.25
206,Ende aller Streckenverbote,0.98075163,8,0.3
207,Ende aller Streckenverbote,0.38869739,8,0.35
208,Vorfahrt,0.83769292,8,0.4
209,Verbot für Fahrzeuge aller Art,0.99624974,8,0.45
210,Vorfahrt,0.9765256,8,0.5
211,Ende aller Streckenverbote,0.60340989,8,0.55
212,Verbot für Fahrzeuge aller Art,0.88721538,8,0.6
213,Ende aller Streckenverbote,0.97244012,8,0.65
214,Ende aller Streckenverbote,0.61479914,8,0.7
215,Vorfahrt gewähren,0.55678248,8,0.75
216,Verbot für Fahrzeuge aller Art,0.52015144,8,0.8
217,Verbot für Fahrzeuge aller Art,0.94643968,8,0.85
218,Verbot für Fahrzeuge aller Art,0.99563617,8,0.9
219,Zulässige Höchstgeschwindigkeit (70),0.44114208,8,0.95
220,Verbot für Fahrzeuge aller Art,0.96934646,8,1.0
221,Vorfahrt,0.96749294,8,1.05
222,Vorfahrt gewähren,0.99248791,8,1.1
223,Vorfahrt,0.64525241,8,1.15
224,Zulässige Höchstgeschwindigkeit (70),0.98402864,8,1.2
225,Ausschließlich rechts,0.76219332,8,1.25
226,Verbot für Fahrzeuge aller Art,0.99981862,8,1.3
227,Vorfahrt,0.96973723,8,1.35
228,Rechts vorbei,0.99999583,8,1.4
229,Vorfahrt gewähren,0.52179432,8,1.45
230,Verbot für Fahrzeuge aller Art,0.72372931,8,1.5
231,Zulässige Höchstgeschwindigkeit (70),0.99992728,8,1.55
232,Zulässige Höchstgeschwindigkeit (70),0.82312042,8,1.6
233,Unebene Fahrbahn,0.90456474,8,1.65
